[10362,1549.6]
[10826,730.0]
[10851,2603.0]
[10998,686.0]
[11054,305.0]
[10306,498.5]
[10331,88.5]
[10378,103.19999999999999]
[10926,514.4]
[10297,1420.0]
[10325,1497.0]
[10388,1228.8]
[10943,711.0]
[11037,60.0]
[10557,1152.5]
[10571,550.5875]
[10698,3436.4434999999994]
[10734,1498.35]
[10875,709.55]
[11045,1309.5]
[10265,1176.0]
[10271,48.0]
[10351,5398.725]
[10339,3354.0]
[10977,2233.0]
[10248,440.0]
[10682,375.5]
[10748,2196.0]
[10751,1631.484]
[10766,2310.0]
[10769,1684.275]
[10846,1112.0]
[11039,3090.0]
[10313,182.39999999999998]
[10397,716.7199999999999]
[10720,550.0]
[10767,28.0]
[10803,1193.01]
[10934,500.0]
[11029,1286.8]
[10315,516.8]
[10841,4581.0]
[10996,560.0]
[10266,346.55999999999995]
[10394,442.0]
[10520,200.0]
[10742,3118.0]
[11043,210.0]
[10447,914.4]
[10517,352.0]
[10524,3192.65]
[10828,932.0]
[11070,1629.975]
[10282,155.39999999999998]
[10341,352.59999999999997]
[10412,334.8]
[10417,11188.4]
[10512,525.3]
[10709,3424.0]
[10754,55.199999999999996]
[10363,447.2]
[10438,454.0]
[10459,1659.1999999999998]
[10493,608.4000000000001]
[10780,720.0]
[10905,342.0]
[11002,1811.1]
[10498,575.0]
[11073,300.0]
[10369,2390.4]
[10430,4899.2]
[10578,477.0]
[10986,2220.0]
[10292,1296.0]
[10330,1649.0]
[10685,801.1]
[10873,336.8]
[10954,1659.5349999999999]
[10289,479.4]
[10426,338.20000000000005]
[10484,386.2]
[10442,1792.0]
[10897,10835.240000000002]
[10940,360.0]
[10367,834.1999999999999]
[10398,2505.6]
[10538,139.8]
[10638,2720.05]
[10606,1130.4]
[10333,877.2]
[10949,4422.0]
[11047,817.875]
[10350,642.06]
[10799,1553.5]
[10822,237.89999999999998]
[10618,2697.5]
[10665,1295.0]
[10706,1893.0]
[10942,560.0]
[10721,923.875]
[10291,497.52000000000004]
[10365,403.20000000000005]
[10764,2286.0]
[10796,2341.3640000000005]
[11027,877.7249999999999]
[10660,1701.0]
[10735,536.4]
[10740,1416.0]
[10761,507.0]
[10849,967.819]
[10472,1036.8]
[10526,1151.4]
[10531,110.0]
[10647,636.0]
[10657,4371.6]
[10758,1644.6]
[10906,427.5]
[10925,475.15]
[10964,2052.5]
[10607,6475.400000000001]
[10813,602.4]
[10976,912.0]
[10669,570.0]
[10772,3603.2200000000003]
[10939,637.5]
[10909,670.0]
[11068,2027.08]
[10300,608.0]
[10425,360.0]
[10475,1505.18]
[10451,3849.6600000000003]
[10690,862.5]
[10743,319.2]
[10901,934.5]
[10637,2761.9375]
[10686,1404.45]
[10687,4960.9]
[11067,86.85000000000001]
[10733,1459.0]
[11035,1754.5]
[10479,10495.6]
[10489,439.20000000000005]
[10534,465.70000000000005]
[10811,852.0]
[10917,365.89]
[10983,720.9]
[10990,4288.85]
[10995,1196.0]
[11016,491.5]
[10259,100.8]
[10392,1440.0]
[10911,858.0]
[10956,677.0]
[10961,1119.9]
[11061,510.0]
[11062,406.40000000000003]
[10476,180.48]
[10561,2844.5]
[10625,479.75]
[10797,420.0]
[10448,443.4]
[10470,1820.8]
[10724,638.5]
[10765,1515.6000000000001]
[10958,781.0]
[10393,2556.95]
[10785,387.5]
[10801,3026.8500000000004]
[11058,858.0]
[10261,448.0]
[10482,147.0]
[10615,120.0]
[10617,1402.5]
[10837,1064.5]
[10863,441.15]
[10930,2255.5]
[11056,3740.0]
[10551,1677.3]
[10559,520.41]
[10850,629.0]
[10946,1407.5]
[11020,632.4]
[10317,288.0]
[10381,112.0]
[10464,1609.28]
[10477,558.0]
[10945,245.0]
[10614,464.0]
[10722,1570.0]
[10859,1078.6875]
[10870,160.0]
[11005,586.0]
[10255,2490.5]
[10349,141.60000000000002]
[10510,4707.540000000001]
[10879,611.3]
[11007,2633.9]
[11010,645.0]
[10424,9194.560000000001]
[10473,230.39999999999998]
[10757,3082.0]
[10391,86.39999999999999]
[10795,2158.0]
[11038,732.6]
[10446,246.24]
[10656,604.215]
[10673,412.35]
[10385,691.2]
[10496,190.0]
[10541,1946.52]
[10619,1260.0]
[10723,468.45]
[10781,975.88]
[10340,2436.18]
[10380,1313.8200000000002]
[10560,1072.425]
[10634,4985.5]
[10824,250.8]
[10263,1873.8]
[10483,668.8]
[10563,965.0]
[10806,439.6]
[10319,1191.1999999999998]
[10868,1920.6]
[10872,2058.46]
[10896,750.5]
[10316,2835.0]
[10431,1892.25]
[10486,1272.0]
[10503,2048.5]
[10554,1728.525]
[10602,48.75]
[10612,6375.0]
[11031,2393.5]
[10287,818.9999999999999]
[10471,1328.0]
[10653,1083.15]
[11069,360.0]
[10599,493.0]
[10677,813.365]
[10716,706.0]
[11034,539.4]
[10402,2713.5]
[10452,2018.5]
[10957,1762.7]
[10312,1614.8]
[11032,8902.5]
[10465,2518.0]
[10522,2318.24]
[10573,2082.0]
[10662,125.0]
[10681,1287.4]
[10895,6379.4]
[10343,1584.0]
[10400,3063.0]
[10405,400.0]
[10427,651.0]
[10453,407.70000000000005]
[10509,136.8]
[10553,1546.3]
[10902,863.43]
[10440,4924.135]
[10736,997.0]
[10755,1948.5]
[10528,392.2]
[10810,187.0]
[10831,2684.4]
[11013,361.0]
[10525,818.4]
[10620,57.5]
[10794,314.76]
[10904,1924.25]
[10356,1106.4]
[10820,1140.0]
[10980,248.0]
[11066,928.75]
[10302,2708.7999999999997]
[10408,1622.4]
[10787,2622.76]
[10927,800.0]
[10978,1303.195]
[10858,649.0]
[10972,251.5]
[11022,1402.0]
[10359,3471.68]
[10457,1584.0]
[10710,93.5]
[10782,12.5]
[10675,1423.0]
[10701,2864.5]
[11049,273.6]
[10361,2046.2400000000002]
[10382,2900.0]
[10308,88.8]
[10594,565.5]
[10700,1638.4]
[10860,519.0]
[10327,1810.0]
[10454,331.20000000000005]
[10731,1890.5]
[10886,3127.5]
[10355,480.0]
[10432,485.0]
[10631,55.800000000000004]
[10490,3163.2]
[10812,1692.8]
[10960,265.35]
[11051,36.0]
[10750,1590.5625]
[10753,88.0]
[10938,2731.875]
[11008,4680.9]
[10474,1249.1]
[10641,2054.0]
[10696,996.0]
[10770,236.25]
[10279,351.0]
[10584,593.75]
[10955,74.4]
[10320,516.0]
[10404,1591.25]
[10444,1031.7]
[10595,4725.0]
[10718,3463.0]
[10752,252.0]
[10830,1974.0]
[10965,848.0]
[11012,2825.3]
[11019,76.0]
[10375,338.0]
[10880,1500.0]
[10920,390.0]
[10993,4895.4375]
[11077,1255.7205000000001]
[10601,2285.0]
[10603,1483.0]
[10763,616.0]
[10771,344.0]
[11006,329.685]
[10360,7390.2]
[10629,2775.05]
[10818,833.0]
[10848,931.5]
[11060,266.0]
[10296,1050.6]
[10441,1755.0]
[11065,189.42000000000002]
[10545,210.0]
[10652,318.835]
[10852,2984.0]
[10997,1885.0]
[10406,1830.7800000000002]
[10450,425.12]
[10542,469.11]
[10674,45.0]
[10974,439.0]
[11040,200.0]
[10714,2205.75]
[10916,686.7]
[10989,1353.6]
[11015,622.35]
[10585,142.5]
[10712,1233.48]
[10825,1030.76]
[10329,4578.43]
[10384,2222.3999999999996]
[10985,2023.38]
[10401,3868.6]
[10661,562.6]
[10676,534.85]
[11000,903.75]
[10253,1444.8000000000002]
[10622,560.0]
[10699,114.0]
[10704,595.5]
[10832,475.11]
[10284,1170.375]
[10592,516.4675]
[10729,1850.0]
[10805,2775.0]
[11017,6750.0]
[11046,1485.8]
[10314,2094.3]
[10504,1388.5]
[10568,155.0]
[10616,4807.0]
[10844,735.0]
[10332,1786.8799999999999]
[10577,569.0]
[10608,1064.0]
[10692,878.0]
[11055,1727.5]
[10646,1446.0]
[10777,224.0]
[10519,2314.2]
[10593,1994.4]
[10790,722.5]
[10971,1733.0600000000002]
[11009,616.5]
[10370,1117.6]
[10466,216.0]
[10508,240.0]
[10865,16387.5]
[11003,326.0]
[11071,484.5]
[10322,112.0]
[10621,758.5]
[10756,1990.0]
[11042,405.75]
[10555,2944.4]
[10564,1234.05]
[10931,799.2]
[10299,349.5]
[10413,2123.2]
[10428,192.0]
[10575,2147.4]
[10891,368.9325]
[11044,591.5999999999999]
[10588,3120.0]
[10591,812.5]
[10705,378.0]
[10951,458.755]
[10357,1167.68]
[10389,1832.8]
[10630,903.5999999999999]
[10418,1814.8]
[10784,1488.0]
[10967,910.4]
[10301,755.0]
[10372,9210.900000000001]
[10419,2097.6]
[10521,225.5]
[10576,838.45]
[10478,471.2]
[10644,1371.8]
[10717,1270.75]
[10270,1376.0]
[10273,2037.2800000000002]
[10492,851.1999999999999]
[10499,1412.0]
[10596,1180.88]
[10759,320.0]
[10775,228.0]
[10922,742.5]
[10952,471.2]
[10543,1504.5]
[10552,880.5]
[10874,310.0]
[10981,15810.0]
[10987,2772.0]
[10258,1614.88]
[10280,613.2]
[10516,2381.05]
[10548,240.1]
[10645,1535.0]
[10707,1641.0]
[10277,1200.8]
[10460,176.1]
[10658,4464.6]
[10713,2827.9]
[10738,52.349999999999994]
[10659,1227.02]
[10672,3815.25]
[10679,660.0]
[10773,2030.4]
[10992,69.6]
[10321,144.0]
[10335,2036.1599999999999]
[10455,2684.0]
[10649,1434.0]
[10695,642.0]
[10969,108.0]
[11053,3055.0]
[10337,2467.0]
[10609,424.0]
[10816,8446.45]
[10884,1378.07]
[10256,517.8]
[10919,1122.8]
[10274,538.6]
[10353,8593.28]
[10379,863.2800000000002]
[10491,259.505]
[10741,228.0]
[10749,1080.0]
[10888,605.0]
[10856,660.0]
[10924,1835.7]
[10250,1552.6]
[10298,2645.0]
[10523,2444.31]
[10537,1823.8]
[10590,1101.0]
[10999,1197.95]
[10386,166.0]
[10821,678.0]
[10843,159.0]
[10892,2090.0]
[11075,498.1]
[10598,2388.5]
[10694,4825.0]
[10778,96.5]
[10883,36.0]
[10436,1994.5200000000002]
[10547,1792.8]
[10804,2278.4]
[10305,3741.3]
[10429,1441.375]
[11063,1342.95]
[10373,1366.4]
[10655,154.4]
[10670,2301.75]
[10688,3160.6]
[10689,472.5]
[10702,330.0]
[10726,655.0]
[10819,477.0]
[11021,6306.24]
[10307,424.0]
[10328,1168.0]
[10842,975.0]
[10890,860.1]
[10278,1488.8]
[10387,1058.4]
[10628,450.0]
[10744,736.0]
[10793,191.1]
[10814,1788.45]
[10908,663.1]
[10944,1025.325]
[10959,131.75]
[10970,224.0]
[11052,1332.0]
[10288,80.1]
[10500,523.26]
[10636,629.5]
[10876,917.0]
[10968,1408.0]
[10991,2296.0]
[10439,1078.0]
[10513,1942.0]
[10494,912.0]
[10515,9921.3]
[10693,2071.2]
[10923,748.8]
[10324,5275.715]
[10437,393.0]
[10546,2812.0]
[10730,484.26250000000005]
[10783,1442.5]
[10809,140.0]
[10533,2222.2]
[10624,1393.24]
[11074,232.08499999999998]
[10929,1174.75]
[11064,4330.400000000001]
[10275,291.84]
[10399,1765.6]
[10762,4337.0]
[10789,3687.0]
[10581,310.0]
[10711,4451.7]
[10853,625.0]
[10642,696.0]
[10836,4705.5]
[10887,70.0]
[10933,920.6]
[10988,3574.8]
[10678,5256.5]
[10827,843.0]
[10893,5502.11]
[10383,899.0]
[10488,1512.0]
[10936,456.0]
[10420,1707.8400000000001]
[10467,235.2]
[10566,1761.0]
[10691,10164.8]
[10719,844.2525]
[10855,2227.8875]
[10878,1539.0]
[10262,584.0]
[10481,1472.0]
[10834,1432.714]
[10857,2048.2125]
[10921,1936.0]
[11018,1575.0]
[10941,4011.75]
[10403,855.015]
[10725,287.8]
[10867,98.39999999999999]
